"","latitude","longitude","salmon_id","Common Name","Age Classbylength","field_length_mm","lab_length_mm","weight_g","Stomach Condition Description","Prey Item Genus Species","prey","prey_life_stage","prey_item_count","prey_weight_g","Prey Item Condition Description","prey_big","Genetic Stock Best Estimate","Genetic Stock Best Estimate Probability","Genetic Stock Second Best Estimate","Genetic Stock Second Best Estimate Probability","insulin_level","hatchery","hatchery_prob"
"52",46.3475,-124.4012,35320,"Chinook salmon","yearling",152,149,29.3,"Most to genus or taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",5,0.055,"Most to genus or taxa","Crabs","Snake_Sp",0.9964,NA,NA,30.5059,"McCall",0.999388
"53",46.3475,-124.4012,35320,"Chinook salmon","yearling",152,149,29.3,"Most to genus or taxa","FABIA SUBQUADRATA","GROOVED MUSSEL CRAB","Zoea",3,0.011,"Most to genus or taxa","Crabs","Snake_Sp",0.9964,NA,NA,30.5059,"McCall",0.999388
"54",46.3475,-124.4012,35320,"Chinook salmon","yearling",152,149,29.3,"Most to genus or taxa","PINNIXA","PEA CRABS","Megalopa",1,0.001,"Most to genus or taxa","Crabs","Snake_Sp",0.9964,NA,NA,30.5059,"McCall",0.999388
"55",46.3475,-124.4012,35320,"Chinook salmon","yearling",152,149,29.3,"Most to genus or taxa","PORCELLANIDAE","PORCELLANIDAE","Megalopa",1,0.001,"Most to genus or taxa","Crabs","Snake_Sp",0.9964,NA,NA,30.5059,"McCall",0.999388
"56",46.3115,-124.3537,35321,"Chinook salmon","yearling",137,131,22.9,"Most to taxa","CANCER ANTENNARIUS/GRACILIS","CANCER ANT/GRAC","Megalopa",1,0.019,"Most to taxa","Crabs","Mid&UCR_Sp",0.9994,NA,NA,43.47403,NA,NA
"57",46.3115,-124.3537,35322,"Chinook salmon","yearling",192,186,83.9,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",1,0.027,"Most to taxa","Crabs","Snake_F",0.9971,NA,NA,87.7846,NA,NA
"58",46.3115,-124.3537,35322,"Chinook salmon","yearling",192,186,83.9,"Most to taxa","SEBASTES","ROCKFISH","Juvenile",3,1.626,"Most to taxa","Fish","Snake_F",0.9971,NA,NA,87.7846,NA,NA
"59",46.3115,-124.3537,35326,"Chinook salmon","yearling",145,141,25.3,"Some to taxa","UNIDENTIFIED","UNIDENTIFIED MATERIAL","Material",0,0.011,"Some to taxa","Other","Snake_Sp",0.9978,NA,NA,46.32037,"RapidRiver",0.99893
"60",46.3115,-124.3537,35328,"Chinook salmon","yearling",171,167,52.4,"Most to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",1,0.724,"Most to taxa","Fish","Mid&UCR_Sp",0.9632,"Snake_Sp",0.0368,66.0101,NA,NA
"61",46.3115,-124.3537,35329,"Chinook salmon","yearling",142,136,21.4,"Most to genus or taxa","FABIA SUBQUADRATA","GROOVED MUSSEL CRAB","Zoea",1,0.005,"Most to genus or taxa","Crabs","Mid&UCR_Sp",0.9649,"Snake_Sp",0.0351,33.3247,NA,NA
"62",46.3115,-124.3537,35329,"Chinook salmon","yearling",142,136,21.4,"Most to genus or taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",2,0.051,"Most to genus or taxa","Crabs","Mid&UCR_Sp",0.9649,"Snake_Sp",0.0351,33.3247,NA,NA
"63",46.3115,-124.3537,35332,"Chinook salmon","yearling",141,138,25.3,"Most to taxa","PANDALIDAE","PANDALIDAE","Juvenile",1,0.03,"Most to taxa","Plankton/Crustaceans","Mid&UCR_Sp",0.8892,"Snake_Sp",0.1108,43.0326,NA,NA
"64",46.3115,-124.3537,35332,"Chinook salmon","yearling",141,138,25.3,"Most to taxa","SEBASTES","ROCKFISH","Juvenile",2,0.295,"Most to taxa","Fish","Mid&UCR_Sp",0.8892,"Snake_Sp",0.1108,43.0326,NA,NA
"65",46.3115,-124.3537,35333,"Chinook salmon","yearling",149,145,27.5,"Most to taxa","SEBASTES","ROCKFISH","Juvenile",1,0.403,"Most to taxa","Fish","Snake_Sp",0.9753,"Mid&UCR_Sp",0.0247,NA,"McCall",0.998566
"66",46.28683,-124.3235,35340,"Chinook salmon","yearling",130,125,19.1,"Some to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",1,0.112,"Some to taxa","Fish","Mid&UCR_Sp",0.9999,NA,NA,40.64575,NA,NA
"67",46.28683,-124.3235,35342,"Chinook salmon","yearling",178,171,66.5,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",3,2.769,"Most to genus or taxa","Fish","Snake_F",0.9993,NA,NA,74.41463,NA,NA
"68",46.28683,-124.3235,35343,"Chinook salmon","yearling",151,148,27.6,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",0,0.073,"Most to taxa","Crabs","Snake_Sp",0.9468,"Mid&UCR_Sp",0.0532,11.40087,NA,NA
"69",46.28683,-124.3235,35344,"Chinook salmon","yearling",153,149,32.2,"Totally digested","EMPTY STOMACH","EMPTY STOMACH","No Food",0,0,"Totally digested","Empty Stomach","Mid&UCR_Sp",0.9896,"Snake_Sp",0.0104,49.04436,NA,NA
"70",46.16983,-124.4562,34961,"Chinook salmon","yearling",171,NA,53.9,"Most to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",1,0.884,"Most to taxa","Fish","Snake_F",0.9935,NA,NA,66.71667,NA,NA
"71",46.16983,-124.4562,34962,"Chinook salmon","yearling",210,204,110.1,"Some to taxa","OSTEICHTHYES","BONY FISHES","Material",0,0.111,"Some to taxa","Fish","Snake_F",0.9998,NA,NA,83.54646,NA,NA
"72",46.16983,-124.4562,34965,"Chinook salmon","yearling",150,154,35.6,"Totally digested","EMPTY STOMACH","EMPTY STOMACH","No Food",0,0,"Totally digested","Empty Stomach","Snake_Sp",0.9999,NA,NA,43.1334,"RapidRiver",0.999838
"73",46.16983,-124.4562,34967,"Chinook salmon","yearling",185,179,70.8,"Totally digested","UNIDENTIFIED","UNIDENTIFIED MATERIAL","Material",0,0.031,"Totally digested","Other","Snake_Sp",0.9833,"Mid&UCR_Sp",0.0167,64.42636,"Pahsimeroi",0.999597
"74",46.16983,-124.4562,34968,"Chinook salmon","yearling",170,166,46.7,"Some to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",2,0.108,"Some to taxa","Fish","Snake_Sp",0.9982,NA,NA,50.8518,"McCall",0.998464
"75",46.1995,-124.481,34979,"Chinook salmon","yearling",171,164,53.6,"Mostly to spp or genus","PLEURONECTIDAE","RIGHTEYED FLATFISH","Juvenile",10,2.102,"Mostly to spp or genus","Fish","Snake_Sp",0.9996,NA,NA,54.53255,"RapidRiver",0.998652
"76",46.1995,-124.481,34981,"Chinook salmon","yearling",155,151,33.7,"Most to genus or taxa","PLEURONECTIDAE","RIGHTEYED FLATFISH","Juvenile",0,0.234,"Most to genus or taxa","Fish","Snake_Sp",0.9088,"Mid&UCR_Sp",0.0912,45.9684,"RapidRiver",0.99739
"77",46.1995,-124.481,34981,"Chinook salmon","yearling",155,151,33.7,"Most to genus or taxa","CEPHALOPODA","CEPHALOPODA","Juvenile",1,0.445,"Most to genus or taxa","Cephalopods","Snake_Sp",0.9088,"Mid&UCR_Sp",0.0912,45.9684,"RapidRiver",0.99739
"78",46.1995,-124.481,34982,"Chinook salmon","yearling",165,157,43.1,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",1,0.914,"Most to genus or taxa","Fish","Snake_Sp",0.9999,NA,NA,53.2652,"RapidRiver",0.997508
"79",46.1995,-124.481,34984,"Chinook salmon","yearling",151,143,30.3,"Most to genus or taxa","PLEURONECTIDAE","RIGHTEYED FLATFISH","Juvenile",2,0.205,"Most to genus or taxa","Fish","Snake_Sp",0.9583,"Mid&UCR_Sp",0.0417,42.71457,"RapidRiver",0.998421
"80",46.1995,-124.481,34985,"Chinook salmon","yearling",150,143,32.4,"Some to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",1,0.171,"Some to taxa","Fish","Snake_Sp",0.9648,"Mid&UCR_Sp",0.0352,61.0072,"Sawtooth",0.999798
"81",46.1995,-124.481,34986,"Chinook salmon","yearling",150,141,27.5,"Mostly to spp or genus","TEUTHIDA","SQUIDS","Juvenile",1,0.289,"Mostly to spp or genus","Cephalopods","Snake_Sp",0.999848,NA,NA,42.96993,"Sawtooth",0.999848
"82",46.16217,-124.4445,35001,"Chinook salmon","yearling",193,182,80.2,"Most to genus or taxa","PLEURONECTIDAE","RIGHTEYED FLATFISH","Juvenile",6,1.109,"Most to genus or taxa","Fish","Snake_F",0.9867,"UCR_Su/F",0.0133,61.53401,NA,NA
"83",46.16217,-124.4445,35001,"Chinook salmon","yearling",193,182,80.2,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",3,2.174,"Most to genus or taxa","Fish","Snake_F",0.9867,"UCR_Su/F",0.0133,61.53401,NA,NA
"84",46.16217,-124.4445,35002,"Chinook salmon","yearling",148,143,29.2,"Most to taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",4,0.059,"Most to taxa","Crabs","Snake_Sp",0.9999,NA,NA,56.76962,"RapidRiver",0.99886
"85",46.16217,-124.4445,35002,"Chinook salmon","yearling",148,143,29.2,"Most to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",1,0.034,"Most to taxa","Fish","Snake_Sp",0.9999,NA,NA,56.76962,"RapidRiver",0.99886
"86",46.17117,-124.451,35018,"Chinook salmon","yearling",151,150,30.4,"Some to taxa","INSECTA","INSECT","Parts",1,0.009,"Some to taxa","Other","Snake_Sp",1,NA,NA,45.49155,"McCall",0.999816
"87",46.17117,-124.451,35018,"Chinook salmon","yearling",151,150,30.4,"Some to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",1,0.049,"Some to taxa","Crabs","Snake_Sp",1,NA,NA,45.49155,"McCall",0.999816
"88",46.17117,-124.451,35025,"Chinook salmon","yearling",162,161,36.2,"Some to taxa","OSTEICHTHYES","BONY FISHES","Material",0,0.251,"Some to taxa","Fish","Snake_Sp",0.9913,NA,NA,28.05,"RapidRiver",0.982187
"89",46.17117,-124.451,35028,"Chinook salmon","yearling",143,142,25.7,"Totally digested","EMPTY STOMACH","EMPTY STOMACH","No Food",0,0,"Totally digested","Empty Stomach","Snake_Sp",1,NA,NA,67.30904,"RapidRiver",0.999526
"90",46.17117,-124.451,35029,"Chinook salmon","yearling",155,153,29.7,"Some to taxa","OSTEICHTHYES","BONY FISHES","Material",0,0.049,"Some to taxa","Fish","Snake_Sp",0.9999,NA,NA,43.5709,"RapidRiver",0.995085
"91",46.169,-124.442,35076,"Chinook salmon","yearling",173,167,50.7,"Most to genus or taxa","PLEURONECTIDAE","RIGHTEYED FLATFISH","Juvenile",11,1.255,"Most to genus or taxa","Fish","Snake_F",0.8754,"UCR_Su/F",0.1246,52.94368,NA,NA
"92",46.169,-124.442,35082,"Chinook salmon","yearling",150,145,27.4,"Most to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",6,0.312,"Most to taxa","Fish","Snake_Sp",1,NA,NA,17.12608,"RapidRiver",0.987106
"93",46.16567,-124.4837,35089,"Chinook salmon","yearling",155,149,32.2,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",1,0.64,"Most to genus or taxa","Fish","Snake_Sp",0.982,"Mid&UCR_Sp",0.018,44.01969,"Sawtooth",0.999703
"94",46.33983,-124.3605,35092,"Chinook salmon","yearling",192,186,78,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",2,1.29,"Most to genus or taxa","Fish","Snake_F",0.9792,"UCR_Su/F",0.0208,81.84131,NA,NA
"95",46.32717,-124.3545,35104,"Chinook salmon","yearling",157,149,34.5,"Most to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",0,0.262,"Most to taxa","Fish","Snake_Sp",1,NA,NA,60.22446,"RapidRiver",0.986826
"96",46.34917,-124.3903,35111,"Chinook salmon","yearling",137,130,23.5,"Mostly to spp or genus","SEBASTES","ROCKFISH","Juvenile",1,0.732,"Mostly to spp or genus","Fish","Mid&UCR_Sp",0.5097,"Snake_Sp",0.4903,27.08215,NA,NA
"97",46.34917,-124.3903,35117,"Chinook salmon","yearling",147,142,29.3,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",2,0.558,"Most to genus or taxa","Fish","Mid&UCR_Sp",0.924,"Snake_Sp",0.076,61.22256,NA,NA
"98",46.3315,-124.3562,35130,"Chinook salmon","yearling",151,150,28.4,"Mostly to spp or genus","SEBASTES","ROCKFISH","Juvenile",3,1.34,"Mostly to spp or genus","Fish","Snake_Sp",0.9716,"Mid&UCR_Sp",0.0284,29.12988,NA,NA
"99",46.3315,-124.3562,35132,"Chinook salmon","yearling",148,143,24.4,"Some to taxa","OSTEICHTHYES","BONY FISHES","Material",0,0.062,"Some to taxa","Fish","Snake_Sp",0.996,NA,NA,31.65,"McCall",0.999506
"100",46.3315,-124.3562,35136,"Chinook salmon","yearling",145,143,28.6,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",1,0.266,"Most to genus or taxa","Fish","Snake_F",0.706,"UCR_Su/F",0.294,43.5044,NA,NA
"101",46.3315,-124.3562,35139,"Chinook salmon","yearling",155,151,30.8,"Some to taxa","OSTEICHTHYES","BONY FISHES","Material",0,0.058,"Some to taxa","Fish","Snake_Sp",1,NA,NA,56.6359,"RapidRiver",0.988518
"102",46.3315,-124.3562,35140,"Chinook salmon","yearling",142,142,23.1,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",1,0.041,"Most to taxa","Crabs","Snake_Sp",0.998352,NA,NA,20.24624,"Dworshak",0.998352
"103",46.28783,-124.3337,35151,"Chinook salmon","yearling",154,150,30.6,"Totally digested","CRUSTACEA","CRUSTACEA","Material",0,0.014,"Totally digested","Plankton/Crustaceans","Snake_Sp",0.9951,NA,NA,47.31142,"McCall",0.999499
