...1,Song,lyric
116, Shape Of My Hands ,but i'm so calculated and you don't make plans
117, Shape Of My Hands ,it's stupid
118, Shape Of My Hands ,i'm losing
119, Shape Of My Hands ,but you quote my lyrics every single night
120, Shape Of My Hands ,are you still thinking about me?
121, Shape Of My Hands ,i know you are but i still wonder
122, Shape Of My Hands ,are you thinking about me?
123, Shape Of My Hands ,i know you are but i still wonder
124, Shape Of My Hands ,you fucked her to the songs i showed you
125, Shape Of My Hands ,"called me after, bad and broken"
126, Shape Of My Hands ,searched yourself for who you were
127, Shape Of My Hands ,the line went dead but i'm still hopin'
128, Shape Of My Hands ,it's stupid
129, Shape Of My Hands ,i'm losin'
130, Shape Of My Hands ,but you quote my lyrics every single night
131, Shape Of My Hands ,are you still thinking about me?
132, Shape Of My Hands ,i know you are but i still wonder
133, Shape Of My Hands ,are you thinking about me?
134, Shape Of My Hands ,i know you are but i still wonder
135, Shape Of My Hands ,you remind me of something i scratched on a napkin
136, Shape Of My Hands ,"""it doesn't matter how many people love you"
137, Shape Of My Hands ,"all that matters is how one person loves you"""
138, Shape Of My Hands ,kissed me on the temple when you thought i was sleeping
139, Shape Of My Hands ,"and said, ""you are so..."""
140, Shape Of My Hands ,i never quite caught the last word
141, Shape Of My Hands ,but i'm sure it's the sweetest thing that i've ever not heard
149, Cuff ,see how the anger calmly crouches
150, Cuff ,in the beast's eyes
151, Cuff ,i've made a lot of friends with couches
152, Cuff ,on the east side
153, Cuff ,it takes a troubled type of freedom
154, Cuff ,to drink all night
155, Cuff ,if you already nailed the sequence
156, Cuff ,am i worth yr time
157, Cuff ,i cuff my t-shirt sleeves
158, Cuff ,and grit my teeth
159, Cuff ,how else can i tell myself i can do most anything?
160, Cuff ,i cuff my t-shirt sleeves
161, Cuff ,and grit my teeth
162, Cuff ,how else can i tell myself i can do most anything?
163, Cuff ,how else can i tell myself i can
164, Cuff ,come out and meet me on your day off and be candid
165, Cuff ,thank you for being cool and uncross
166, Cuff ,bout what my hands did or didn't
167, Cuff ,and i cuff my t-shirt sleeves
168, Cuff ,and grit my teeth
169, Cuff ,how else can i tell myself i can do most anything?
170, Cuff ,and you cuff my t-shirt sleeves
171, Cuff ,and kiss my cheeks
172, Cuff ,how else could you expect i could do most anything
173, Cuff ,how else could you expect that i can
181," For Cheez (My Friend, Not The Food) ",it's my twenty-fourth birthday
182," For Cheez (My Friend, Not The Food) ",it's the morning after my twenty-fourth birthday party
183," For Cheez (My Friend, Not The Food) ",and i been sleepin' in my car
184," For Cheez (My Friend, Not The Food) ","cheez, i, i'm so glad you called"
185," For Cheez (My Friend, Not The Food) ",'cause i haven't been honest
186," For Cheez (My Friend, Not The Food) ","well, i haven't been thinkin' honestly"
187," For Cheez (My Friend, Not The Food) ",i need somebody promising me
188," For Cheez (My Friend, Not The Food) ",facts aren't my fault
189," For Cheez (My Friend, Not The Food) ",'cause i was fallin' when you caught me
190," For Cheez (My Friend, Not The Food) ",was crawlin' and you brushed the gravel from my knees
191," For Cheez (My Friend, Not The Food) ","said, ""listen now if ever, please"
192," For Cheez (My Friend, Not The Food) ",nothin's written in bold or stone
193," For Cheez (My Friend, Not The Food) ",so confidence will keep you pointed towards your goals
194," For Cheez (My Friend, Not The Food) ","that's what matters, after all"
195," For Cheez (My Friend, Not The Food) ","sarah, please, keep in mind everything's temporary"""
196," For Cheez (My Friend, Not The Food) ","""on days we are shinin'"
197," For Cheez (My Friend, Not The Food) ",and on days we feel backwards remember this:
198," For Cheez (My Friend, Not The Food) ",the biggest life is always held in
199," For Cheez (My Friend, Not The Food) ","the brightest of eyes"""
200," For Cheez (My Friend, Not The Food) ",'cause i was fallin' when you caught me
201," For Cheez (My Friend, Not The Food) ",was crawlin' and you brushed the gravel from my knees
202," For Cheez (My Friend, Not The Food) ","said, ""listen now if ever, please"
203," For Cheez (My Friend, Not The Food) ",nothin's written in bold or stone
204," For Cheez (My Friend, Not The Food) ",so confidence will keep you pointed towards your goals
205," For Cheez (My Friend, Not The Food) ","that's what matters, after all"
206," For Cheez (My Friend, Not The Food) ","sarah, please, keep in mind everything's temporary"""
207," For Cheez (My Friend, Not The Food) ","""sarah, please, keep in mind everything's temporary"
208," For Cheez (My Friend, Not The Food) ",you'll be fine
209," For Cheez (My Friend, Not The Food) ","hey, let's grab a doughnut sometime"""
217, Paying Off The Happiness ,the zipper's broken on my favorite hoodie
218, Paying Off The Happiness ,at twenty-four i'm somehow making rookie mistakes
219, Paying Off The Happiness ,"like, just the other day i asked, ""could we kick it?"""
220, Paying Off The Happiness ,you looked away and kept your answer encrypted
221, Paying Off The Happiness ,i made a habit out of shuffling savings
222, Paying Off The Happiness ,and standing toe-to-toe i think we're faking it fine
223, Paying Off The Happiness ,i guess my invite was a spiritual error
224, Paying Off The Happiness ,a restitution via paypal and pressure
225, Paying Off The Happiness ,i could probably use a fourth job
226, Paying Off The Happiness ,i'm stuck with paying it all off
227, Paying Off The Happiness ,"mmm, i'm paying it all off"
228, Paying Off The Happiness ,"mmm, i'm paying it all off"
229, Paying Off The Happiness ,you said you hate it when i try and be funny
230, Paying Off The Happiness ,'cause every joke i make is comin' out runny and wrong
231, Paying Off The Happiness ,tried to apologize and put it on my tab
232, Paying Off The Happiness ,treated the friends you brought to stella and cognac
233, Paying Off The Happiness ,all this emotional debt's got me so lost
234, Paying Off The Happiness ,i'm stuck with paying it all off
235, Paying Off The Happiness ,"mmm, i'm paying it all off"
243, Patience ,patience is
244, Patience ,a painful gift
245, Patience ,what a shame to wait
246, Patience ,"and patience, you"
247, Patience ,aren't leaving any time soon
248, Patience ,sweatshirt off and bed unmade
249, Patience ,calm and cheerful
250, Patience ,"boy, you're giving me an earful"
251, Patience ,all about the rotten fits of haste
252, Patience ,"so patience, please"
253, Patience ,you've brought me to my knees
254, Patience ,fortitude and weakness both in spades
255, Patience ,my lesson's in the lines
256, Patience ,"time, we want more time"
257, Patience ,"time, we want more time"
258, Patience ,"patience claims, ""sleep it off for one more stale day"
259, Patience ,"in the morning wake up feelin' new"""
260, Patience ,but there's a mark on my neck
261, Patience ,it's the one your lips have left
262, Patience ,and it's beating softly with my pulse
263, Patience ,congruent to the shape
264, Patience ,of your swingin' home state
265, Patience ,a token of last night care of the midwest
266, Patience ,my lesson's in the lines
267, Patience ,"time, we want more time"
268, Patience ,"time, we want more time"
269, Patience ,and i'm damaged by design
270, Patience ,"time, we want more time"
271, Patience ,"time, we want more time"
272, Patience ,patience mentioned i was kind and well-intentioned
273, Patience ,although it might not come across that way
274, Patience ,"so thank your muse, share some gentle praise from me too"
275, Patience ,i'll be right here when she fades
283, The Rules ,i'm still inside his room
284, The Rules ,i'm plastered on his walls
285, The Rules ,i'm drippin' from his drawers
286, The Rules ,with a clumsy hand i cannot take what's mine
287, The Rules ,and turn the knob
288, The Rules ,i've grown too
289, The Rules ,sentimental
290, The Rules ,please grow too
291, The Rules ,and forget the rules
292, The Rules ,we could trace them on vacant pages
293, The Rules ,read them off 'til they make no sense
294, The Rules ,we could shoot to unfold the corners
295, The Rules ,but a memory's just a heedless child who skips rocks 'cross your head
296, The Rules ,and she tries to match your steps
297, The Rules ,'til she bails for better tread
298, The Rules ,and she bails for better
299, The Rules ,i've grown too
300, The Rules ,sentimental
301, The Rules ,please grow too
302, The Rules ,and forget the rules
303, The Rules ,he's still inside my room
304, The Rules ,he is written on the walls
305, The Rules ,in a font that is so familiar
306, The Rules ,with a clouded head i cannot comprehend his words at all
307, The Rules ,i can't read them at all
308, The Rules ,i can't read them at all
309, The Rules ,i can't read them at all
317, boi ,"boi, i wanna make you feel the same way that you feel when we're together"
318, boi ,"boi, i wanna take you by the collar, warm my nose up in this weather"
319, boi ,"boi, i wanna press my hand against your bathroom mirror"
320, boi ,"boi, i wanna watch you write each number and each letter"
321, boi ,"boi, i wanna shout your name so everyone can hear it"
322, boi ,"boi, i hear you whispering, ""it's right,"" while you're asleep"
1," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",woo
2," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",let's smash to a podcast
3," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",tomorrow mornin' we're cryin' into a denny's grand slam
4," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",of a kickback
5," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ","while you were pointing at me, saying that i was the bad man"
6," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",i was so bad
7," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ","but i couldn't grasp, you were takin' your time"
8," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",lightin' the gas lamp with a loose match
9," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",a real inventive iconoclast
10," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ","if you were a man, you'd be so"
11," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",big hops with my 'boks on
12," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",can't even believe that i made it from kickin' my front lawn
13," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",to a new jawn
14," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",if only i was as good as everyone stayin' so calm
15," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",you was so calm
16," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",but i can't remember the last three months
17," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",guess i am a profit prawn on a freckled palm
18," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",but i'll be keepin' that one song
19," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ","if you were a man, you'd be so"
20," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ","if i was a man, i'd be sow"
21," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ","if you were a man, you'd be so"
22," will i get cancelled if i write a song called,  if you were a man you'd be so cancelled ",if i was a
30, free ppls ,"free peoples all over the place, there are no"
31, free ppls ,free peoples living any place i know of
32, free ppls ,free peoples in another location but the
33, free ppls ,free peoples hate the people who want to become
34, free ppls ,free
35, free ppls ,free
36, free ppls ,free
37, free ppls ,look at 'em
38, free ppls ,free
39, free ppls ,look at the sheeples in their feeding pasture while the
40, free ppls ,dutiful shepherd drives them harder and faster and the
41, free ppls ,stock boss is overcome with laughter 'cause he
42, free ppls ,sold everyone on marching blind to the rapture where they're
43, free ppls ,free
44, free ppls ,he eats for free
45, free ppls ,free
46, free ppls ,free
47, free ppls ,we
48, free ppls ,want to be free
49, free ppls ,we
50, free ppls ,want to be free
51, free ppls ,can't just do nothing all the time now
52, free ppls ,you know we're known for being too loud
53, free ppls ,'til too loud
54, free ppls ,gets shut down
62, freequent letdown ,"mm-hm, i'm always letting everyone down"
63, freequent letdown ,i'm always letting everyone know i'm down
64, freequent letdown ,"mm-hm, i'm always letting everyone down"
65, freequent letdown ,i'm always letting everyone know i'm down
66, freequent letdown ,mm-hm
67, freequent letdown ,(one-two-three go!)
68, freequent letdown ,i am no ceo
69, freequent letdown ,i'm not professional
70, freequent letdown ,i'm no bright edison
71, freequent letdown ,don't know a thing 'bout modern medicine
72, freequent letdown ,"mm-hm, i'm always letting everyone down"
73, freequent letdown ,i'm always letting everyone know i'm down
74, freequent letdown ,"mm-hm, i'm always letting everyone down"
75, freequent letdown ,i'm always letting everyone know i'm down
76, freequent letdown ,mm-hm
77, freequent letdown ,(four-five-six-six-six!)
78, freequent letdown ,i couldn't keep a job
79, freequent letdown ,tried to show up but i forgot
80, freequent letdown ,i couldn't keep a partner
81, freequent letdown ,'cause staying in touch is such a bummer
82, freequent letdown ,"mm-hm, i'm always letting everyone down"
83, freequent letdown ,i'm always letting everyone know i'm down
84, freequent letdown ,"mm-hm, i'm always letting everyone down"
85, freequent letdown ,i'm always letting everyone know i'm down
86, freequent letdown ,mm-hm
87, freequent letdown ,"mm-hm, i'm always letting everyone down"
88, freequent letdown ,i'm always letting everyone know i'm down
89, freequent letdown ,"mm-hm, i'm always letting everyone down"
90, freequent letdown ,i'm always letting everyone know i'm down
91, freequent letdown ,mm-hm
99, melatonezone ,your number one goat
100, melatonezone ,your backwards anthem
101, melatonezone ,you've got to go rogue
102, melatonezone ,before you go platinum
103, melatonezone ,(uh-huh)
104, melatonezone ,sticking a toothpick into my thigh like
105, melatonezone ,"kidding myself that i'm still alive, i'm"
106, melatonezone ,"taking a bite of commercial pie, you're"
107, melatonezone ,living it up while i ask politely
108, melatonezone ,what do you do when
109, melatonezone ,you wake up goopy from a melatoney engine?
110, melatonezone ,barely keeping you chugging
111, melatonezone ,with all the wrong intentions
112, melatonezone ,my fighter pilot
113, melatonezone ,my takeoff title
114, melatonezone ,could you cool your heels
115, melatonezone ,for one more cycle?
116, melatonezone ,(uh-huh)
117, melatonezone ,holding a fat roll of paper towel but
118, melatonezone ,wiping my nose on the sleeve of your blouse
119, melatonezone ,calling the suits for a record recount
120, melatonezone ,saying you cried but you're laughing out loud
121, melatonezone ,what do you do when
122, melatonezone ,you wake up goopy from a melatoney engine?
123, melatonezone ,barely keeping you chugging
124, melatonezone ,in all the wrong directions
125, melatonezone ,so you shift and you shake
126, melatonezone ,all the slim and slimy friendships
127, melatonezone ,in the odds that some clout
128, melatonezone ,"seekers slide into your mentions, ah, ah"
129, melatonezone ,so what do you do when-
137, WATTBL ,creeping crawlers
138, WATTBL ,flying saucers
139, WATTBL ,i just saw their
140, WATTBL ,property has been released
141, WATTBL ,(so!)
142, WATTBL ,someone's lying
143, WATTBL ,caught 'em filing
144, WATTBL ,crooked finance
145, WATTBL ,all your things for 17 bucks a week
146, WATTBL ,you set the hard line
147, WATTBL ,"""what a time, what a time!"""
148, WATTBL ,you set the hard line
149, WATTBL ,"""what a time, what a time!"""
150, WATTBL ,la mystics
151, WATTBL ,sang me secrets
152, WATTBL ,i'm forgiving
153, WATTBL ,i forgiving all my shit away
154, WATTBL ,"mom, i'm on it"
155, WATTBL ,let's be honest
156, WATTBL ,since last august
157, WATTBL ,i could barely keep my sight line straight
158, WATTBL ,you set the hard line
159, WATTBL ,"""what a time, what a time!"""
160, WATTBL ,you set the hard line
161, WATTBL ,"""what a time, what a time!"""
162, WATTBL ,so i'll sign the lame line
163, WATTBL ,"""what a time, what a time!"""
164, WATTBL ,so i'll sign the lame line
165, WATTBL ,"""what a time, what a time!"""
166, WATTBL ,"oh, what a time!"
174, free dumb ,while the world burns
175, free dumb ,how could you care about a fucking record?
176, free dumb ,empty turntables
177, free dumb ,to polish off the fucking decade
178, free dumb ,there was no love lost until you deemed that i was non-essential
179, free dumb ,i guess it's my fault for being good at something sentimental
180, free dumb ,ooh
181, free dumb ,ooh
182, free dumb ,ooh
183, free dumb ,ooh
184, free dumb ,ooh
185, free dumb ,ooh
186, free dumb ,ooh
187, free dumb ,ooh
1, Declutter ,cull the cardboard from the floor
2, Declutter ,i don't love you anymore
3, Declutter ,"lift each penny, the structure"
4, Declutter ,twice a season i try and declutter
5, Declutter ,i sift the sediment from the rocky grave
6, Declutter ,i can't tell you when i stopped feeling the same
7, Declutter ,i mailed the remnants to a friend
8, Declutter ,wrote a phony name in the return address
9, Declutter ,i don't care anymore
10, Declutter ,"thrift shop, goodwill store"
11, Declutter ,i don't care
12, Declutter ,or need it anymore
13, Declutter ,mark the hours by my meals
14, Declutter ,each decision's got me dragging my heels
15, Declutter ,speak in only past tense
16, Declutter ,shoulder to shoulder and shaking our heads
17, Declutter ,i don't care anymore
18, Declutter ,"thrift shop, goodwill store"
19, Declutter ,i don't care
20, Declutter ,or need it anymore
21, Declutter ,"""hey, um, sorry if you're sleeping... i have some good news for you, so. um, i'm gonna go to sleep now, but, um, i was hoping to hear your voice. thinking of you. have a good night."""
29, Pool Hopping ,danger! ripper!
30, Pool Hopping ,"in every life, there is a bell"
31, Pool Hopping ,one rounded curve of time or tell
32, Pool Hopping ,"i'm on the left half looking over, over, over, uh-huh"
33, Pool Hopping ,dip in a toe into the deep end
34, Pool Hopping ,obtusely waving at a new friend
35, Pool Hopping ,"they said the water's warm, but i'm not sure if you and i are-"
36, Pool Hopping ,"over, over, over, so i'm-"
37, Pool Hopping ,pool hoppin'!
38, Pool Hopping ,window shoppin'
39, Pool Hopping ,night vision
40, Pool Hopping ,indecision
41, Pool Hopping ,pool hoppin'!
42, Pool Hopping ,window shoppin'
43, Pool Hopping ,stealth make-out
44, Pool Hopping ,breakfast takeout
45, Pool Hopping ,spittin' my teeth into their hand
46, Pool Hopping ,you're twisted like an ampersand
47, Pool Hopping ,stuck in the hotel one block-
48, Pool Hopping ,"over, over, over, uh-huh"
49, Pool Hopping ,squeezin' a melty scoop of ice cream
50, Pool Hopping ,i let it drip across your backseat
51, Pool Hopping ,"guess i could wipe it up, but i ask you if maybe you'd pull-"
52, Pool Hopping ,"over, over, over, now i'm-"
53, Pool Hopping ,pool hoppin'!
54, Pool Hopping ,window shoppin'
55, Pool Hopping ,off hours
56, Pool Hopping ,buzz the tower
57, Pool Hopping ,pool hoppin'!
58, Pool Hopping ,window shoppin'
59, Pool Hopping ,clean rebound
60, Pool Hopping ,peanut butter mouth
61, Pool Hopping ,pool hoppin'!
62, Pool Hopping ,window shoppin'
63, Pool Hopping ,all rip'rs
64, Pool Hopping ,no more skip'rs
65, Pool Hopping ,pool hoppin'!
66, Pool Hopping ,window shoppin'
67, Pool Hopping ,so spaced out
68, Pool Hopping ,breakfast takeout
76, Knead ,hey (you a) gremlin power box
77, Knead ,you take in a beat while you scour the slots
78, Knead ,the conventional upends easy
79, Knead ,so pull on a plug while you're bored and you're cleanly
80, Knead ,licking the edge of a cupcake
81, Knead ,you point to my neck and i point to your plate
82, Knead ,now normally i'd be heated
83, Knead ,but this time it seems like you need it
84, Knead ,knead
85, Knead ,pouring my sludge down the sink drain
86, Knead ,sweepin' the crumbs of the graceful and grain
87, Knead ,while you arranged your hands into an eagle
88, Knead ,and left the outline on the thigh of my jeans
89, Knead ,knead
90, Knead ,aha! yo-o!
91, Knead ,knead
99, Threatening Each Other re: Capitalism ,to make it to the party
100, Threatening Each Other re: Capitalism ,we got all tweaked on coffee
101, Threatening Each Other re: Capitalism ,"we're up 'til morning, ahh"
102, Threatening Each Other re: Capitalism ,cross-legged on your mattress
103, Threatening Each Other re: Capitalism ,we're practicing our death threats
104, Threatening Each Other re: Capitalism ,"hold-your-breath contest, ahh"
105, Threatening Each Other re: Capitalism ,i'm sorry 'bout my mood swings
106, Threatening Each Other re: Capitalism ,"i promise, i wanna do the party"
107, Threatening Each Other re: Capitalism ,to suck on air from people having fun
108, Threatening Each Other re: Capitalism ,but even on the good trees
109, Threatening Each Other re: Capitalism ,it feels like i am dying
110, Threatening Each Other re: Capitalism ,"so i tried e-weed, ahh"
111, Threatening Each Other re: Capitalism ,the corner store is selling spit
112, Threatening Each Other re: Capitalism ,bottled up for profit
113, Threatening Each Other re: Capitalism ,i can't believe i'm buying in
114, Threatening Each Other re: Capitalism ,isn't that genius?
115, Threatening Each Other re: Capitalism ,maybe before the year ends
116, Threatening Each Other re: Capitalism ,i'll catch up on fashion
117, Threatening Each Other re: Capitalism ,would you look at what i'm wearing? ahh
118, Threatening Each Other re: Capitalism ,but if you're not too embarrassed
119, Threatening Each Other re: Capitalism ,of how i go out in public
120, Threatening Each Other re: Capitalism ,do you think that we could make a deli run?
121, Threatening Each Other re: Capitalism ,the corner store is selling spit
122, Threatening Each Other re: Capitalism ,bottled up for profit
123, Threatening Each Other re: Capitalism ,i can't believe i'm buying in
124, Threatening Each Other re: Capitalism ,isn't that genius?
125, Threatening Each Other re: Capitalism ,you didn't know it
126, Threatening Each Other re: Capitalism ,but i think i'm trying to blow this
127, Threatening Each Other re: Capitalism ,i loved you best under fluorescent lights
128, Threatening Each Other re: Capitalism ,i'm getting tricked into
129, Threatening Each Other re: Capitalism ,long-term commitments
130, Threatening Each Other re: Capitalism ,and lay-away plans financing my life
131, Threatening Each Other re: Capitalism ,my mouth is dry
132, Threatening Each Other re: Capitalism ,the corner store's got sugar pills
133, Threatening Each Other re: Capitalism ,to settle our consumer guilt
134, Threatening Each Other re: Capitalism ,"once you're hooked, they'll cut a deal"
135, Threatening Each Other re: Capitalism ,the farmers' market's got this stand
136, Threatening Each Other re: Capitalism ,they say they'll cut your fruit in half
137, Threatening Each Other re: Capitalism ,"it saves you sweat, but your haul rots fast"
138, Threatening Each Other re: Capitalism ,"now, twice a week, you're hauling back"
139, Threatening Each Other re: Capitalism ,shit
140, Threatening Each Other re: Capitalism ,isn't that genius?
148, u v v p ,abbreviate when you're running late
149, u v v p ,i've found that shortening the phrase
150, u v v p ,can save you hours in the day
151, u v v p ,"so i'll stay on my toes, telling anecdotes"
152, u v v p ,about how you take off your clothes
153, u v v p ,and how it looks like it's in slow-mo
154, u v v p ,every time i hear a song
155, u v v p ,i think about you dancing
156, u v v p ,every time i meet someone
157, u v v p ,i fall in love
158, u v v p ,but i don't wanna hide you
159, u v v p ,i don't wanna hide too
160, u v v p ,i don't wanna hide you
161, u v v p ,i don't wanna hide too
162, u v v p ,what hurts? it's hot keeping us on lock
163, u v v p ,and you still snag me stolen guava from
164, u v v p ,a tree right down the block
165, u v v p ,you know that every time i'm on my own
166, u v v p ,i'm wishing we were dancing
167, u v v p ,every time you meet someone
168, u v v p ,"you call me up, shouting"
169, u v v p ,i don't wanna hide you
170, u v v p ,i don't wanna hide too
171, u v v p ,i don't wanna hide you
172, u v v p ,i don't wanna hide too
173, u v v p ,i don't wanna hide you (i don't wanna hide you)
174, u v v p ,i don't wanna hide too (i don't wanna hide too)
175, u v v p ,i don't wanna hide you (i don't wanna hide you)
176, u v v p ,i don't wanna hide too (i don't wanna hide too)
177, u v v p ,i've never felt so sorry
178, u v v p ,"well, darlin', here we are"
179, u v v p ,at the end of all things
180, u v v p ,"with a heaviness in my heart, i must admit"
181, u v v p ,i've dug us both a hollow ditch
182, u v v p ,i've never felt so sorry
183, u v v p ,"you know, previously i'd been cutting a quick path"
184, u v v p ,along a lonesome desert road
185, u v v p ,a road along which i was standing swan
186, u v v p ,to find a love so sweet on me
187, u v v p ,i've never felt so sorry
188, u v v p ,so if you can summon the goodwill to forgive (sorry)
189, u v v p ,forgive this bad old plum rattling loose in a barking iron
190, u v v p ,i've been known to have too much tumbleweed in my blood to ever settle down but
191, u v v p ,but i'm not yet ready to get to bed
192, u v v p ,"well, there ain't nothing i'd like more than to take you dancing"
193, u v v p ,just one very last time
201, Protector ,"i am not sure that you're my screen door, honey"
202, Protector ,keeping the bugs out humbly
203, Protector ,looking leaner and latticed
204, Protector ,"maintain a temperate status in the sunlight, dumpling"
205, Protector ,i am not sure that you're my superstition
206, Protector ,eyelash with one whole wish in
207, Protector ,it was a light on your cheekbone
