"","Song","lyric"
"231","""Didn't""","didn't"
"232","""Didn't""","do it"
"233","""Didn't""","didn't"
"234","""Didn't""","do it"
"235","""Didn't""","what if i just didn't?"
"236","""Didn't""","didn't"
"237","""Didn't""","do it"
"238","""Didn't""","didn't"
"239","""Didn't""","do it"
"240","""Didn't""","didn't"
"241","""Didn't""","do it"
"242","""Didn't""","what if i just didn't?"
"243","""Didn't""","do what you want to"
"244","""Didn't""","you know i'm so unenthused"
"245","""Didn't""","i don't want to"
"246","""Didn't""","what if i just didn't?"
"247","""Didn't""","do what you want to"
"248","""Didn't""","you know i'm so unenthused"
"249","""Didn't""","i don't want to"
"250","""Didn't""","what if i just didn't?"
"251","""Didn't""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"252","""Didn't""","  {"
"253","""Didn't""","     document.getelementbyid('azmxmbanner').style.display='block';"
"254","""Didn't""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"255","""Didn't""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/dfd9gogocmskm2rjwzjth0h7mhmh9tbw/24pkhf8q53rr2n8ve0b0h4eym+2npkkedcgqccjrqs4jqczdim0i0uipd9sjlz+jw0h2a2hslxlcjt9g8wr2nhjqvb+yg3qvgwbz3vyhx1bquk1uayqtlgholgldpfhr2yuhrllpqm=/?artist_name=illuminati+hotties&track_name=didn%27t&s=ea897f86d5e6a7f3f92b728b8cd10dc0"" width=""290px"" height=""50px""></iframe>'+"
"256","""Didn't""","  '</div>');"
"257","""Didn't""","   }"
"258","""You Are Not Who You Were""","feeling vindicated"
"259","""You Are Not Who You Were""","i checked and you are not that famous"
"260","""You Are Not Who You Were""","not to be combative"
"261","""You Are Not Who You Were""","but finally it doesn't matter"
"262","""You Are Not Who You Were""","i'm everything you wanted"
"263","""You Are Not Who You Were""","except i've never been dishonest"
"264","""You Are Not Who You Were""","you are not who you were when this began"
"265","""You Are Not Who You Were""","you are not who you are when we're hand in hand"
"266","""You Are Not Who You Were""","when we're hand in hand"
"267","""You Are Not Who You Were""","could've had me foolish"
"268","""You Are Not Who You Were""","nightly you kept me on coolant"
"269","""You Are Not Who You Were""","buzzing in the bathroom"
"270","""You Are Not Who You Were""","i stitch myself to your disaster"
"271","""You Are Not Who You Were""","i'm everything you wanted"
"272","""You Are Not Who You Were""","except for everything you want"
"273","""You Are Not Who You Were""","you are not who you were when this began"
"274","""You Are Not Who You Were""","you are not who you are when we're hand in hand"
"275","""You Are Not Who You Were""","you are not who you were when this began"
"276","""You Are Not Who You Were""","you are not who you are when we're hand in hand"
"277","""You Are Not Who You Were""","when we're hand in hand"
"278","""You Are Not Who You Were""","you are not who you were when this began"
"279","""You Are Not Who You Were""","you are not who you were when this began"
"280","""You Are Not Who You Were""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"281","""You Are Not Who You Were""","  {"
"282","""You Are Not Who You Were""","     document.getelementbyid('azmxmbanner').style.display='block';"
"283","""You Are Not Who You Were""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"284","""You Are Not Who You Were""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36182172/su_0/rs_0/tr_3vucaoibhuojkn3oaf27ffjxmi-h3c_j-enxj6soiztswnvrgrbh81lfarexlhmxeqlb1sriuz1hv3uvhcpjdoug2sconngtk0nunobiyrw2jagiqsqsn8x7erme30obhykjcklyi9g1sqn2cgmmz42wkcj8e_kdwjbukbkxmin0__fyn5cpeqvjhzpt9h2eokiw2x9omtvvp9d3zntcr9fa4_vssxqvexdsvfiexcqicjzviyx4vk6mgwaaqlze9mhxtdi3bsjk9asoy1u-9a911bidjkktdawrsfhron_vwo2slynn_asxrqhwywv6afqg8fl3oj3sckpolv9cuoxgupdi8czk_pz4z_hulhhanfwlqmfllpn_caxvvm0ttnpzlzrr-lfxq7te6mhdd-0n1tzzklo0rdwlqfhjd7gg-zpuu1buqqjh66fm1pndz2v3yvb6ldsqrnv7-b2skxr-9qz0/"" width=""290px"" height=""50px""></iframe>'+"
"285","""You Are Not Who You Were""","  '</div>');"
"286","""You Are Not Who You Were""","   }"
"287","""What's the Fuzz""","get busy dying and keep it hush, hush"
"288","""What's the Fuzz""","dissolve the poison in flattened peach crush"
"289","""What's the Fuzz""","living is easier when you're stupid"
"290","""What's the Fuzz""","might as well just keep it moving"
"291","""What's the Fuzz""","get your ice cream! get your jesus!"
"292","""What's the Fuzz""","howdy, alaska, the tundra's freezing"
"293","""What's the Fuzz""","working the basics and building muscle"
"294","""What's the Fuzz""","i'm not doing anything too special"
"295","""What's the Fuzz""","blinder on a bucking bronco"
"296","""What's the Fuzz""","pull the rug and shake it clean"
"297","""What's the Fuzz""","what's the fuzz across my mind now?"
"298","""What's the Fuzz""","squinting hard but i can't see"
"299","""What's the Fuzz""","blinder on a bucking bronco"
"300","""What's the Fuzz""","pull the rug and shake it clean"
"301","""What's the Fuzz""","what's the fuzz across my mind now?"
"302","""What's the Fuzz""","squinting hard but i can't see"
"303","""What's the Fuzz""","blinder on a bucking bronco"
"304","""What's the Fuzz""","bring the paywall to its knees"
"305","""What's the Fuzz""","what's the fuzz across my mind now?"
"306","""What's the Fuzz""","squinting hard so i can't see"
"307","""What's the Fuzz""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"308","""What's the Fuzz""","  {"
"309","""What's the Fuzz""","     document.getelementbyid('azmxmbanner').style.display='block';"
"310","""What's the Fuzz""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"311","""What's the Fuzz""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36194011/su_0/rs_0/tr_3vucai8hdilqoysg_zg8gxeaofrgcnvszx6n2bzdmeih4v2lti3dna7iyzzdrghpy9p5pkrk-bcek3q4he74utjmyxcmgiu7ccxjbg8ddgoo8upsnxewyrzaj7fobullybxm2kdzzf4hmesu7-kq-iwfegjoyuze7lpr0zeh6cewi86dnx52ridwpmphr6crettrncey_robsowoy3wjozmfry8_nhhtcdq22lxmosbl9tf_jpxezhiivcy1czwtncne4b8vm834l4sye6brbokfxgcopc2oqzv7csuhdi1fdg6nmcrfnedpkrq2cjgbktzah_4i0l1impx75rrbrce9owd4dnemztqhn_5blimekpbvm-ncznjlgiauv29wlg1tv7tyrp3udy1rabwrndxsiwg1jyb-etx-bbjnbjzt5cg-vkzqb875j2kxnx9bwm-3pezculisinqpg4-dqlih/"" width=""290px"" height=""50px""></iframe>'+"
"312","""What's the Fuzz""","  '</div>');"
"313","""What's the Fuzz""","   }"
"314","""YSL""","smoking at the met at dawn"
"315","""YSL""","tell them that i'm yves st. laurent"
"316","""YSL""","this time last year, could barely walk"
"317","""YSL""","don't play, don't play"
"318","""YSL""","don't play, don't play, don't play"
"319","""YSL""","half a liter of my scum"
"320","""YSL""","a trouser suit, a mondrian"
"321","""YSL""","it takes so much to turn me off"
"322","""YSL""","don't play, don't play"
"323","""YSL""","don't play, don't play, don't play"
"324","""YSL""","do you really want to waste your time?"
"325","""YSL""","waste your time?"
"326","""YSL""","do you really want to waste your time?"
"327","""YSL""","waste your time?"
"328","""YSL""","secret kept at your request"
"329","""YSL""","didn't know i had one week left"
"330","""YSL""","earned more than you once i was dead"
"331","""YSL""","don't play, don't play"
"332","""YSL""","don't play, don't play, don't play"
"333","""YSL""","loved you always"
"334","""YSL""","i am strong"
"335","""YSL""","ready-to-wear couture on lock"
"336","""YSL""","the girls will thank me once i'm gone"
"337","""YSL""","don't play, don't play"
"338","""YSL""","don't play, don't play, don't play"
"339","""YSL""","do you really want to waste your time?"
"340","""YSL""","waste your time?"
"341","""YSL""","do you really want to waste your time?"
"342","""YSL""","waste your time?"
"343","""YSL""","do you really want to waste your time?"
"344","""YSL""","waste your time?"
"345","""YSL""","do you really want to waste your time?"
"346","""YSL""","waste your time?"
"347","""YSL""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"348","""YSL""","  {"
"349","""YSL""","     document.getelementbyid('azmxmbanner').style.display='block';"
"350","""YSL""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"351","""YSL""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36228890/su_0/rs_0/tr_3vucanqz7rk_zkz9jv4irwbpsk53-v9v0v8drvk2rpeabbgq0hkdeoo1hoqa_xywwded_efcqwdagv1aqh3wy8ai-oscgjgzwmpf8sknbbevhhtefh1x0dky457dnsqlw1j6rcjm3_xuoyzenun7ecs_m-jpalhgacvz4gv9wz4nikco864eapnfif43uhchtjt0bghzwzfglffptk1pllauqte7dgbzyob-btcyflnamujtsp3hjg6eqpv_mnapozlrzip9x53y6szdr3cij0kpcilwvlu8se0l6tyaytwjalevi7jjdhfvltkisklrdprzb0am86yaltjjz6by5_yeyogntsupe_z2eebn6erisduuqay9qsr2lp-ewilz4nooly1kkteywfxi1ofirqwvp8q0yq137_7rjkmlbfdgdv8umjfm0stvayyyvjaqhdhwba7a/"" width=""290px"" height=""50px""></iframe>'+"
"352","""YSL""","  '</div>');"
"353","""YSL""","   }"
"354","""Power""","needle knife as a bookmark"
"355","""Power""","reminder to keep your wit sharp, oh"
"356","""Power""","when the fear"
"357","""Power""","became real"
"358","""Power""","taking on all my dumb shit"
"359","""Power""","wrapping it in your velvet, ah"
"360","""Power""","and i knew"
"361","""Power""","i was cruel"
"362","""Power""","i want to be where you are"
"363","""Power""","i want to feel your"
"364","""Power""","power"
"365","""Power""","power"
"366","""Power""","butterfly in the backyard"
"367","""Power""","comfort a fissured clay heart, ah"
"368","""Power""","but the sign"
"369","""Power""","isn't mine"
"370","""Power""","i want to be where you are"
"371","""Power""","i want to feel your"
"372","""Power""","power"
"373","""Power""","power"
"374","""Power""","i want to be where you are"
"375","""Power""","i want to feel your"
"376","""Power""","power"
"377","""Power""","power"
"378","""Power""","power"
"379","""Power""","power"
"380","""Power""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"381","""Power""","  {"
"382","""Power""","     document.getelementbyid('azmxmbanner').style.display='block';"
"383","""Power""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"384","""Power""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_35740173/su_0/rs_0/tr_3vucamlkzu77kq04hzeolf_bgoskxrarpuujbaglvynju1cq70ioaqt2v234jhbxyhv_c_qxiekgi44rdivjlkdp9_b3s4w3eyw47sgjvyodzjnrxvzezafohowod4pjwgpj2qhf_yye4urfvwisgeqldofw0sqess8oyyxhnzhcsoubqrx_91ylbz0gslhbmkxwdufgntsx_bxphjunzpdqqesfjm9m2rina3apgofijzejufbn9kd1ynqllklxdtlj2qpcv-bxhyxhgdv3bdionck2uy1_zzcqmj7doawu-3nvyhh6dnkcnn-xllmf1t-jpbma5in9v2lcgebegtaovdzjrhxdrlh97mcoi2rhjzu89wodkrqon-l8zv_hfv15yy-aivfr6ct3ew1na3omrfmy39toew21efjenswxacy0h4axvru6ojzh9hralu1tlw/"" width=""290px"" height=""50px""></iframe>'+"
"385","""Power""","  '</div>');"
"386","""Power""","   }"
"387","""Everything Changes""","did you know?"
"388","""Everything Changes""","everything changes"
"389","""Everything Changes""","when you lose someone"
"390","""Everything Changes""","when you lose someone"
"391","""Everything Changes""","everything changes"
"392","""Everything Changes""","now you can't get up"
"393","""Everything Changes""","now the good is gone"
"394","""Everything Changes""","while you're watching"
"395","""Everything Changes""","every person around you"
"396","""Everything Changes""","getting their life done"
"397","""Everything Changes""","like they're moving on"
"398","""Everything Changes""","'cause they're moving on"
"399","""Everything Changes""","and everything changes"
"400","""Everything Changes""","you're the only one"
"401","""Everything Changes""","yeah, you got stuck"
"402","""Everything Changes""","and you can't unpause"
"403","""Everything Changes""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"404","""Everything Changes""","  {"
"405","""Everything Changes""","     document.getelementbyid('azmxmbanner').style.display='block';"
"406","""Everything Changes""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"407","""Everything Changes""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36228903/su_0/rs_0/tr_3vucahwsteyeohys0woqxdy9ospc3kwxngpzmbsklpxktcdklgkrzzfbuib_zgwb3s_q5j59jw-q5j4puqiwiltczzh7agvevmjbx44lomrga-uubqrockj8wwiwvagyfjgpzv-ginbexzr-fennztyvwsvhphsbuxnob_nzrf-k_b5vxaix7ii9inhvzoqmvq0gwgoiptaf6npux0ke39ca3kjjiwdjun3f4apcvawv0aqc6rxc7nskufnq7njwviitcj0-a2xo8mxzqzkwiylhlczw0mm3ccgpf8izxtktqashqjhgcs4hn59_qosrgjc-dxvshxwbe-0yb_a5vss1vbudozruvh-gns0kwwjss6inv8t8guvm8himuq2pipxe7pk5f7jvfikqclwlt50muautqbnlqmhb07i4ho4ypgtr4of83csl_x0vgli2hya58vx7gp6u-04xxpm/"" width=""290px"" height=""50px""></iframe>'+"
"408","""Everything Changes""","  '</div>');"
"409","""Everything Changes""","   }"
