"","Song","lyric"
"171","""WATTBL""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36239604/su_0/rs_0/tr_3vucalukqvyesoem8ju6bra9gi72mafkolbpyi9l6quvxv0mqb-uy6oftjifjpduy7deszw3v6s9e6sej3t5d3bvvfyijyuxq84ho7wd1gzc8cx8dalt0joz0rwqhz9yjuutz4npawaqf6o99bnlukxdugrcgrxtiabtxfnr7qvuxjijgkotk-rfvmgftyjz6lggckgdca8mlnkio0wfwpm_3pbjcdrdsqzpzdnlmatfxgsnelzsnhwoplvrxnwygvqkgj60egbvfccj4uu2zx6wjyvebsqelrfzanlstikbel2mwu0vlfk2xxn62_m2oz_kotckncn208s_6sweg9bzxpmwaludblwynbs-ypyvwtkoutjjmmnsfevjvj0d54qfc03uzjnlowae7wx0ap8xk-e0yobskxlxpkiwhbz-jzortjw849khwnrj9zimvotytdwu8yv3ww/"" width=""290px"" height=""50px""></iframe>'+"
"172","""WATTBL""","  '</div>');"
"173","""WATTBL""","   }"
"174","""free dumb""","while the world burns"
"175","""free dumb""","how could you care about a fucking record?"
"176","""free dumb""","empty turntables"
"177","""free dumb""","to polish off the fucking decade"
"178","""free dumb""","there was no love lost until you deemed that i was non-essential"
"179","""free dumb""","i guess it's my fault for being good at something sentimental"
"180","""free dumb""","ooh"
"181","""free dumb""","ooh"
"182","""free dumb""","ooh"
"183","""free dumb""","ooh"
"184","""free dumb""","ooh"
"185","""free dumb""","ooh"
"186","""free dumb""","ooh"
"187","""free dumb""","ooh"
"188","""free dumb""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"189","""free dumb""","  {"
"190","""free dumb""","     document.getelementbyid('azmxmbanner').style.display='block';"
"191","""free dumb""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"192","""free dumb""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_22915740/su_0/rs_0/tr_3vucampynw4quqd2kurgo58ccaldhefthn7o-uvqpnovrv2oe4zhvtsfnzsvrp13itoqivt0l3pmtdtjhfb-f1wg3ukx_smoaw9vt4nszep6zu4b9ofnk8tvvhtkqiskcbo2yi8gbptytg_hr6vxu9ldrfz8qufrcxznccs-5zjo6xvgwvaxuw1uezf3iz9o0gq8mht0dwoejoayfefzi2t77nr0iqwzc_lxlylsblgt0nlqg48uloihf-brhz5kpgxzk2shgixagkuz4kqjrrahru56avwpinsirufhkygj2a-5nvyxu2ve41cssbydgmn3jbapdgdcbm4emsvbdc6pu0lawibsepf7c0ct-anzyof25qbocw3da3drfdgfnxhrpidy-malvq1mwq-51m4znlrefhmca41-ptncirnzzmeo_atovmte4raeptf_sdhkelu/"" width=""290px"" height=""50px""></iframe>'+"
"193","""free dumb""","  '</div>');"
"194","""free dumb""","   }"
