"","Song","lyric"
"25","""Pressed 2 Death""","you only want me when i'm feelin' bad"
"26","""Pressed 2 Death""","you only like me when i'm sad"
"27","""Pressed 2 Death""","you only want me when i'm feelin' bad"
"28","""Pressed 2 Death""","and now i'm feelin' so bad"
"29","""Pressed 2 Death""","i'm sad"
"30","""Pressed 2 Death""","you only want me when i'm feelin' bad"
"31","""Pressed 2 Death""","you only like me when i'm sad"
"32","""Pressed 2 Death""","you only want me when i'm feelin' bad"
"33","""Pressed 2 Death""","now i'm feelin' so bad"
"34","""Pressed 2 Death""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"35","""Pressed 2 Death""","  {"
"36","""Pressed 2 Death""","     document.getelementbyid('azmxmbanner').style.display='block';"
"37","""Pressed 2 Death""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"38","""Pressed 2 Death""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_35734366/su_0/rs_0/tr_3vucanisl4xtoxevsncfktwbkbobdkoqpitpbac2esffdorfhfybmienl8t6exwcv-lrya1qb_hhu1yjw-gyciec0v6jqgymxzuyor-ocht9l27ws75_bkvfevy_d_rz_sqcelj7isifbk-_kmfelfja--rctia84chxtx4g7rkvnrfrhnevy5c_lpxzk7jdtr1ttbkm9u2ot7iwfuuczg0yz0ni2salvjfhpvugttn0g56qvjoezbrpk63nsvloa2h1kzh5itsz010swqmkucm5j6_fklpxnl3c_qxt9vsxz28qleocggul30wjyi4yfeaw7rjubjkbwquhp2jcbbogoj37zqmftvjllxvcgzm4ym6rc-tgm9u12e_csldkfgfozi8ls9xukwt__vtkya1gu0ciwbimqsp70tacvwegitkte-crza2ey060urenup83fa3v3ctwamtnew/"" width=""290px"" height=""50px""></iframe>'+"
"39","""Pressed 2 Death""","  '</div>');"
"40","""Pressed 2 Death""","   }"
"41","""reasons 2 live""","thank blob i got a job that keeps me busy doing stuff i love"
"42","""reasons 2 live""","oh my, i wanna die sometimes and i remember the people who keep me alive"
"43","""reasons 2 live""","mm-hm-mm, mm-hm-mm"
"44","""reasons 2 live""","ashleigh taught me how to love my grown-up body"
"45","""reasons 2 live""","and joey cares more than any other human being"
"46","""reasons 2 live""","chuckie knows exactly what to say"
"47","""reasons 2 live""","and katterson makes the most beautiful paintings"
"48","""reasons 2 live""","mm-hm-mm, mm-hm-mm"
"49","""reasons 2 live""","mm-hm-mm, mm-hm-mm"
"50","""reasons 2 live""","good grief, i brush my teeth"
"51","""reasons 2 live""","it's the one thing i can't skip no matter where i sleep"
"52","""reasons 2 live""","chill out, i'm on your couch"
"53","""reasons 2 live""","come closer, maybe we could snuggle it out"
"54","""reasons 2 live""","mm-hm-mm, mm-hm-mm"
"55","""reasons 2 live""","dean's got dance moves like nobody's business"
"56","""reasons 2 live""","and liam stays up late, we have so much to talk about"
"57","""reasons 2 live""","emily can sing just like a princess"
"58","""reasons 2 live""","and mikey c. is so good and so sweet to me"
"59","""reasons 2 live""","mm-hm-mm, mm-hm-mm"
"60","""reasons 2 live""","mm-hm-mm, mm-hm-mm"
"61","""reasons 2 live""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"62","""reasons 2 live""","  {"
"63","""reasons 2 live""","     document.getelementbyid('azmxmbanner').style.display='block';"
"64","""reasons 2 live""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"65","""reasons 2 live""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36307483/su_0/rs_0/tr_3vucahuyg7c_dlasveh9mj42xcl7rdkl82gpi2-h9guyw65rzond3ugnuc2khytzyo71q1oyquqw6ineepobd_sihrkiry1h0mogvqp0mfpohg_8xeyqrnsbzdujl4qzpow1g25wtyoj0ewfpfia1dbyp3wtbqzvtgcwaafkmsqyh2bfzk9p67q0b5brrb6jjp2kvi_onjnonftdhuzomhmdtkwjaoq9zxjjtlgjd53gyfe1r1dakmvgo5bccihugopfdq5f-56vi1qsldq8b2vefg5qs51ugrjv3n3bjyx86g-z8_uj_fy5o30ihilzi0qy_ndrhybknibmnxbqefevaefnjquvxvnweklfgewtfktnygwxbvrbzkmba3rmxedh_b88n_8z-ajgnmumpld_hzqw41r8rwp1mvcnkxt0vpzi437uabbgzult-yscsqogvbr3gg/"" width=""290px"" height=""50px""></iframe>'+"
"66","""reasons 2 live""","  '</div>');"
"67","""reasons 2 live""","   }"
